angle_deg     ieee754_hex         sin_pre         sin_out    sin_out_real         sin_err         cos_pre         cos_out    cos_out_real         cos_err        flip_out
       25        41c80000        0.422618            3619        0.422638        0.000020        0.906308            7403        0.906342        0.000034               0
       24        41c00000        0.406737            340c        0.406616       -0.000120        0.913545            74f1        0.913605        0.000059               0
       23        41b80000        0.390731            31fe        0.390564       -0.000167        0.920505            75d5        0.920563        0.000058               0
       22        41b00000        0.374607            2fea        0.374329       -0.000278        0.927184            76b1        0.927277        0.000093               0
       21        41a80000        0.358368            2dde        0.358337       -0.000031        0.933580            777e        0.933533       -0.000048               0
       20        41a00000        0.342020            2bc3        0.341888       -0.000132        0.939693            7846        0.939636       -0.000056               0
       19        41980000        0.325568            29a7        0.325409       -0.000159        0.945519            7906        0.945496       -0.000023               0
       18        41900000        0.309017            278c        0.308960       -0.000057        0.951057            79be        0.951111        0.000054               0
       17        41880000        0.292372            2568        0.292236       -0.000135        0.956305            7a69        0.956329        0.000025               0
       16        41800000        0.275637            234b        0.275726        0.000089        0.961262            7b07        0.961151       -0.000111               0
       15        41700000        0.258819            211f        0.258759       -0.000061        0.965926            7ba5        0.965973        0.000047               0
       14        41600000        0.241922            1ef4        0.241821       -0.000101        0.970296            7c30        0.970215       -0.000081               0
       13        41500000        0.224951            1cc9        0.224884       -0.000067        0.974370            7cb6        0.974304       -0.000066               0
       12        41400000        0.207912            1a9a        0.207825       -0.000087        0.978148            7d32        0.978088       -0.000059               0
       11        41300000        0.190809            186c        0.190796       -0.000013        0.981627            7da5        0.981598       -0.000029               0
       10        41200000        0.173648            1639        0.173615       -0.000034        0.984808            7e0c        0.984741       -0.000067               0
        9        41100000        0.156434            1405        0.156403       -0.000032        0.987688            7e6c        0.987671       -0.000017               0
        8        41000000        0.139173            11cf        0.139130       -0.000043        0.990268            7ebf        0.990204       -0.000064               0
        7        40e00000        0.121869            0f92        0.121643       -0.000226        0.992546            7f0e        0.992615        0.000069               0
        6        40c00000        0.104528            0d60        0.104492       -0.000036        0.994522            7f4b        0.994476       -0.000046               0
        5        40a00000        0.087156            0b26        0.087097       -0.000059        0.996195            7f81        0.996124       -0.000070               0
        4        40800000        0.069756            08f1        0.069855        0.000098        0.997564            7fb1        0.997589        0.000025               0
        3        40400000        0.052336            06b1        0.052277       -0.000059        0.998630            7fd2        0.998596       -0.000033               0
        2        40000000        0.034899            0475        0.034821       -0.000079        0.999391            7feb        0.999359       -0.000032               0
        1        3f800000        0.017452            023d        0.017487        0.000034        0.999848            7ff9        0.999786       -0.000061               0
        0        00000000        0.000000            0000        0.000000        0.000000        1.000000            8000       -1.000000       -2.000000               0
       -1        bf800000       -0.017452            fdc1       -0.017548       -0.000095        0.999848            7ffc        0.999878        0.000030               0
       -2        c0000000       -0.034899            fb85       -0.035004       -0.000104        0.999391            7fec        0.999390       -0.000001               0
       -3        c0400000       -0.052336            f94d       -0.052338       -0.000002        0.998630            7fd1        0.998566       -0.000064               0
       -4        c0800000       -0.069756            f70d       -0.069916       -0.000159        0.997564            7fb0        0.997559       -0.000005               0
       -5        c0a00000       -0.087156            f4da       -0.087097        0.000059        0.996195            7f84        0.996216        0.000021               0
       -6        c0c00000       -0.104528            f29e       -0.104553       -0.000025        0.994522            7f4e        0.994568        0.000046               0
       -7        c0e00000       -0.121869            f066       -0.121887       -0.000018        0.992546            7f0d        0.992584        0.000038               0
       -8        c1000000       -0.139173            ee31       -0.139130        0.000043        0.990268            7ec4        0.990356        0.000088               0
       -9        c1100000       -0.156434            ebfb       -0.156403        0.000032        0.987688            7e6d        0.987701        0.000013               0
      -10        c1200000       -0.173648            e9c5       -0.173676       -0.000027        0.984808            7e0f        0.984833        0.000025               0
      -11        c1300000       -0.190809            e792       -0.190857       -0.000048        0.981627            7da4        0.981567       -0.000060               0
      -12        c1400000       -0.207912            e567       -0.207794        0.000118        0.978148            7d37        0.978241        0.000093               0
      -13        c1500000       -0.224951            e336       -0.224915        0.000037        0.974370            7cb7        0.974335       -0.000035               0
      -14        c1600000       -0.241922            e108       -0.241943       -0.000021        0.970296            7c33        0.970306        0.000011               0
      -15        c1700000       -0.258819            dedd       -0.258881       -0.000062        0.965926            7ba2        0.965881       -0.000044               0
      -16        c1800000       -0.275637            dcb5       -0.275726       -0.000089        0.961262            7b0c        0.961304        0.000042               0
      -17        c1880000       -0.292372            da98       -0.292236        0.000135        0.956305            7a68        0.956299       -0.000006               0
      -18        c1900000       -0.309017            d874       -0.308960        0.000057        0.951057            79b9        0.950958       -0.000098               0
      -19        c1980000       -0.325568            d658       -0.325439        0.000129        0.945519            7908        0.945557        0.000038               0
      -20        c1a00000       -0.342020            d438       -0.342041       -0.000021        0.939693            784c        0.939819        0.000127               0
      -21        c1a80000       -0.358368            d21d       -0.358490       -0.000122        0.933580            7780        0.933594        0.000013               0
      -22        c1b00000       -0.374607            d00b       -0.374664       -0.000058        0.927184            76b3        0.927338        0.000154               0
      -23        c1b80000       -0.390731            cdf9       -0.390839       -0.000107        0.920505            75d3        0.920502       -0.000003               0
      -24        c1c00000       -0.406737            cbf1       -0.406708        0.000029        0.913545            74ed        0.913483       -0.000063               0
      -25        c1c80000       -0.422618            c9e3       -0.422760       -0.000142        0.906308            73ff        0.906219       -0.000088               0
      -26        c1d00000       -0.438371            c7e5       -0.438324        0.000047        0.898794            730b        0.898773       -0.000021               0
      -27        c1d80000       -0.453990            c5e2       -0.454041       -0.000050        0.891007            720a        0.890930       -0.000076               0
      -28        c1e00000       -0.469472            c3e6       -0.469543       -0.000072        0.882948            7100        0.882813       -0.000135               0
      -29        c1e80000       -0.484810            c1f2       -0.484802        0.000007        0.874620            6ff5        0.874664        0.000045               0
      -30        c1f00000       -0.500000            bfff       -0.500031       -0.000031        0.866025            6eda        0.866028        0.000002               0
      -31        c1f80000       -0.515038            be13       -0.515045       -0.000007        0.857167            6db8        0.857178        0.000010               0
      -32        c2000000       -0.529919            bc28       -0.530029       -0.000110        0.848048            6c88        0.847900       -0.000148               0
      -33        c2040000       -0.544639            ba4c       -0.544556        0.000083        0.838671            6b58        0.838623       -0.000048               0
      -34        c2080000       -0.559193            b86f       -0.559113        0.000080        0.829038            6a19        0.828888       -0.000150               0
      -35        c20c0000       -0.573576            b695       -0.573578       -0.000001        0.819152            68d8        0.819092       -0.000060               0
      -36        c2100000       -0.587785            b4c3       -0.587799       -0.000014        0.809017            6787        0.808807       -0.000210               0
      -37        c2140000       -0.601815            b2f8       -0.601807        0.000008        0.798636            6638        0.798584       -0.000052               0
      -38        c2180000       -0.615661            b133       -0.615631        0.000030        0.788011            64dc        0.787964       -0.000047               0
      -39        c21c0000       -0.629320            af74       -0.629272        0.000048        0.777146            6375        0.777008       -0.000138               0
      -40        c2200000       -0.642788            adbe       -0.642639        0.000148        0.766044            6211        0.766144        0.000099               0
      -41        c2240000       -0.656059            ac0a       -0.655945        0.000114        0.754710            609b        0.754730        0.000021               0
      -42        c2280000       -0.669131            aa5b       -0.669098        0.000033        0.743145            5f1d        0.743073       -0.000072               0
      -43        c22c0000       -0.681998            a8b9       -0.681854        0.000144        0.731354            5d99        0.731232       -0.000122               0
      -44        c2300000       -0.694658            a719       -0.694550        0.000109        0.719340            5c11        0.719269       -0.000071               0
      -45        c2340000       -0.707107            a57e       -0.707092        0.000014        0.707107            5a81        0.707062       -0.000045               0
      -46        c2380000       -0.719340            a3e9       -0.719452       -0.000112        0.694658            58e7        0.694550       -0.000109               1
      -47        c23c0000       -0.731354            a261       -0.731415       -0.000061        0.681998            5749        0.681915       -0.000083               1
      -48        c2400000       -0.743145            a0e1       -0.743134        0.000011        0.669131            55a7        0.669159        0.000028               1
      -49        c2440000       -0.754710            9f65       -0.754730       -0.000021        0.656059            53f8        0.656006       -0.000053               1
      -50        c2480000       -0.766044            9def       -0.766144       -0.000099        0.642788            5244        0.642700       -0.000087               1
      -51        c24c0000       -0.777146            9c87       -0.777130        0.000016        0.629320            508c        0.629272       -0.000048               1
      -52        c2500000       -0.788011            9b22       -0.788025       -0.000014        0.615661            4ecd        0.615631       -0.000030               1
      -53        c2540000       -0.798636            99c8       -0.798584        0.000052        0.601815            4d08        0.601807       -0.000008               1
      -54        c2580000       -0.809017            9871       -0.809052       -0.000035        0.587785            4b39        0.587677       -0.000108               1
      -55        c25c0000       -0.819152            9724       -0.819214       -0.000062        0.573576            4967        0.573456       -0.000121               1
      -56        c2600000       -0.829038            95e3       -0.829010        0.000028        0.559193            4791        0.559113       -0.000080               1
      -57        c2640000       -0.838671            94a6       -0.838684       -0.000014        0.544639            45b2        0.544495       -0.000144               1
      -58        c2680000       -0.848048            9372       -0.848083       -0.000035        0.529919            43d5        0.529938        0.000018               1
      -59        c26c0000       -0.857167            9246       -0.857239       -0.000071        0.515038            41ea        0.514954       -0.000084               1
      -60        c2700000       -0.866025            9124       -0.866089       -0.000063        0.500000            4000        0.500000       -0.000000               1
      -61        c2740000       -0.874620            900d       -0.874603        0.000016        0.484810            3e0d        0.484772       -0.000038               1
      -62        c2780000       -0.882948            8ef8       -0.883057       -0.000109        0.469472            3c13        0.469330       -0.000142               1
      -63        c27c0000       -0.891007            8df4       -0.890991        0.000015        0.453990            3a1b        0.453949       -0.000042               1
      -64        c2800000       -0.898794            8cf3       -0.898834       -0.000040        0.438371            381a        0.438293       -0.000078               1
      -65        c2820000       -0.906308            8bfd       -0.906342       -0.000034        0.422618            3619        0.422638        0.000020               1
      -66        c2840000       -0.913545            8b0f       -0.913605       -0.000059        0.406737            340c        0.406616       -0.000120               1
      -67        c2860000       -0.920505            8a2b       -0.920563       -0.000058        0.390731            31fe        0.390564       -0.000167               1
      -68        c2880000       -0.927184            894f       -0.927277       -0.000093        0.374607            2fea        0.374329       -0.000278               1
      -69        c28a0000       -0.933580            8882       -0.933533        0.000048        0.358368            2dde        0.358337       -0.000031               1
      -70        c28c0000       -0.939693            87ba       -0.939636        0.000056        0.342020            2bc3        0.341888       -0.000132               1
      -71        c28e0000       -0.945519            86fa       -0.945496        0.000023        0.325568            29a7        0.325409       -0.000159               1
      -72        c2900000       -0.951057            8642       -0.951111       -0.000054        0.309017            278c        0.308960       -0.000057               1
      -73        c2920000       -0.956305            8597       -0.956329       -0.000025        0.292372            2568        0.292236       -0.000135               1
      -74        c2940000       -0.961262            84f9       -0.961151        0.000111        0.275637            234b        0.275726        0.000089               1
      -75        c2960000       -0.965926            845b       -0.965973       -0.000047        0.258819            211f        0.258759       -0.000061               1
      -76        c2980000       -0.970296            83d0       -0.970215        0.000081        0.241922            1ef4        0.241821       -0.000101               1
      -77        c29a0000       -0.974370            834a       -0.974304        0.000066        0.224951            1cc9        0.224884       -0.000067               1
      -78        c29c0000       -0.978148            82ce       -0.978088        0.000059        0.207912            1a9a        0.207825       -0.000087               1
      -79        c29e0000       -0.981627            825b       -0.981598        0.000029        0.190809            186c        0.190796       -0.000013               1
      -80        c2a00000       -0.984808            81f4       -0.984741        0.000067        0.173648            1639        0.173615       -0.000034               1
      -81        c2a20000       -0.987688            8194       -0.987671        0.000017        0.156434            1405        0.156403       -0.000032               1
      -82        c2a40000       -0.990268            8141       -0.990204        0.000064        0.139173            11cf        0.139130       -0.000043               1
      -83        c2a60000       -0.992546            80f2       -0.992615       -0.000069        0.121869            0f92        0.121643       -0.000226               1
      -84        c2a80000       -0.994522            80b5       -0.994476        0.000046        0.104528            0d60        0.104492       -0.000036               1
      -85        c2aa0000       -0.996195            807f       -0.996124        0.000070        0.087156            0b26        0.087097       -0.000059               1
      -86        c2ac0000       -0.997564            804f       -0.997589       -0.000025        0.069756            08f1        0.069855        0.000098               1
      -87        c2ae0000       -0.998630            802e       -0.998596        0.000033        0.052336            06b1        0.052277       -0.000059               1
      -88        c2b00000       -0.999391            8015       -0.999359        0.000032        0.034899            0475        0.034821       -0.000079               1
